10923	Help with question 3 unit 1	cs101 hw1.3 help	100004176	question	\N	\N	2012-02-29 19:13:05.962049+00	0	11	1	2	9
9001643		ph100 	100031294	answer	9001039	9001039	2012-06-30 16:37:59.021538+00	0	522	0	0	6
8003818		cs387 	100078168	answer	8003491	8003491	2012-05-19 00:15:40.766384+00	0	132	0	0	4
1577	Posts in forum appear blank?	cs101 question posts	100001004	question	\N	\N	2012-02-22 13:04:00.596214+00	0	4868	13	21	43
8129	[bug] searching cause server error	cs101 search bug forum	100005714	question	\N	\N	2012-02-28 05:12:51.894285+00	0	57	0	2	8
9080	Multiple Choice Homework  are not SAVED!!	cs101 not_saved multiple homework choice	100003760	question	\N	\N	2012-02-28 18:55:04.518494+00	0	31	0	2	7
9004066		ph100 	100033022	answer	9004062	9004062	2012-07-11 01:07:23.875484+00	3	3432	1	4	29
45098		cs101 	100005854	answer	45077	45077	2012-03-21 19:05:54.714024+00	2	1732	0	8	35
15497	Unit 2 HW 3 - Long code	cs101 homework2.3 hw2.3	100002795	question	\N	\N	2012-03-02 19:07:07.138612+00	0	1502	5	21	44
797	[BUG] Links from emails are incorrect	cs101 bug forum emails	100008612	question	\N	\N	2012-02-21 19:53:49.442119+00	2	1584	1	15	29
4108	Don't give the Homework answers away!!	cs101 homework	100002123	question	\N	\N	2012-02-24 03:22:42.492665+00	6	284	4	8	23
493	Does anyone know of a good entry-level book on Python?	cs101 books references	100000348	question	\N	\N	2012-02-21 16:07:42.00762+00	5	76	2	3	3
6031690	How to store settings	cs253 discussion	100006969	question	\N	\N	2012-08-05 11:34:23.405642+00	0	542	1	2	18
1707		cs101 	100004663	answer	1694	1694	2012-02-22 15:25:21.980492+00	0	2842	7	30	41
15601	Grading HW1-Q9	cs101 hw1.9 grading	100004682	question	\N	\N	2012-03-02 20:31:13.752031+00	0	317	1	3	25
11371	Rounding positive and negative numbers (uses only the contents of the unit 1)	cs101 hw1.9 solution homework hw1	100004438	question	\N	\N	2012-03-01 00:21:54.707821+00	4	99	0	2	6
34590	hw3.8 - Matrix Ops	cs101 operations neo rotation white-rabbit matrix	100005918	question	\N	\N	2012-03-13 18:01:08.325625+00	0	2531	9	31	63
949	broken link	cs101 bug forum	100000592	question	\N	\N	2012-02-21 22:42:20.78064+00	0	929	2	6	45
2003918		cs101 	100012219	answer	2003870	2003870	2012-05-03 08:08:24.949084+00	0	15896	16	47	115
12022	Did you think Unit 2 was easier than Unit 1?	cs101 unit2 hw2	100008267	question	\N	\N	2012-03-01 03:48:51.256972+00	0	1488	2	19	48
9040	Recursion for Exercise 2.25	cs101 recursion	100006979	question	\N	\N	2012-02-28 18:36:41.452593+00	2	8107	21	55	111
